Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-October-2017,730.00,734.90,714.00,718.80,721.281729705513956316,437508,5986,315566527.00,70723,16.16,20.90,-11.20
27-October-2017,730.05,734.40,723.25,726.25,729.534146936639491022,340133,3025,248138638.00,165419,48.63,11.15,-3.80
26-October-2017,717.00,732.85,715.15,729.45,727.033975133828354342,277968,3937,202092180.00,57554,20.71,17.70,12.45
25-October-2017,720.00,726.35,710.25,717.10,717.592827039572353813,238702,2921,171290843.00,34734,14.55,16.10,-2.90
24-October-2017,715.00,728.00,714.60,719.40,722.050040760473986083,274776,4049,198402022.00,52115,18.97,13.40,4.40
23-October-2017,708.20,713.50,704.00,711.35,709.746833517359833149,203775,3173,144628661.00,58940,28.92,9.50,3.15
19-October-2017,708.50,711.45,701.30,704.40,706.504047146988740746,54977,1000,38841473.00,19608,35.67,10.15,-4.10
18-October-2017,714.00,717.90,707.10,709.35,710.908515338330575915,216386,3503,153830650.00,73927,34.16,10.80,-4.65
17-October-2017,713.60,717.45,708.40,712.45,712.004692653625106979,311977,3641,222129088.00,113297,36.32,9.05,-1.15
16-October-2017,712.10,719.45,711.85,715.40,715.028631619687647061,227371,3225,162576775.00,53205,23.40,7.60,3.30
13-October-2017,695.00,715.90,695.00,710.60,706.491574140831530881,936225,9800,661435074.00,456644,48.78,20.90,15.60
12-October-2017,684.95,692.60,681.35,690.85,686.762994152170130191,379286,4736,260479589.00,121488,32.03,11.25,5.90
11-October-2017,695.00,698.10,673.65,681.00,686.509796802762339182,258911,3760,177744938.00,57532,22.22,24.45,-14.00
10-October-2017,699.60,703.85,685.05,690.65,691.280204845649757581,733235,4855,506870841.00,438405,59.79,18.80,-8.95
